292;右;yòu;"right; west; right-wing";w_hsk1_292;0;0
293;穿;chuān;"penetrate, pierce, drill; wear";w_hsk1_293;0;0
294;哥;gē;elder brother;w_hsk1_294;0;0
295;弟;dì;"young brother; junior; i, me";w_hsk1_295;0;0
296;慢;màn;slow(ly), leisurely, sluggish;w_hsk1_296;0;0
297;忙;máng;"busy, pressed for time; hustling";w_hsk1_297;0;0
298;介;jiè;"forerunner, herald, harbinger; to lie between; sea shell; to wear armor";w_hsk1_298;0;0
299;鱼;yú;"fish; surname; KangXi radical 195";w_hsk1_299;0;0
300;跑;pǎo;run, flee, leave in hurry;w_hsk1_300;0;0
301;贵;guì;expensive, costly, valuable;w_hsk1_301;0;0
302;班;bān;"class, group, grade; squad; job";w_hsk1_302;0;0
303;票;piào;"slip of paper or bamboo; ticket";w_hsk1_303;0;0
304;睛;jīng;"eyeball; pupil of eye";w_hsk1_304;0;0
305;旅;lǚ;"trip, journey; travel; traveler";w_hsk1_305;0;0
306;笔;bǐ;"writing brush; write; stroke";w_hsk1_306;0;0
307;卖;mài;"sell; betray; show off";w_hsk1_307;0;0
308;旁;páng;"side; by side, close by, near";w_hsk1_308;0;0
309;阴;yīn;"principle; dark; secret";w_hsk1_309;0;0
310;跳;tiào;"jump, leap, vault, bounce; dance";w_hsk1_310;0;0
311;雪;xuě;"snow; wipe away shame, avenge";w_hsk1_311;0;0
312;肉;ròu;"flesh; meat; KangXi radical 130";w_hsk1_312;0;0
313;馆;guǎn;public building;w_hsk1_313;0;0
314;牛;niú;"cow, ox, bull; KangXi radical93";w_hsk1_314;0;0
315;纸;zhǐ;paper;w_hsk1_315;0;0
316;歌;gē;"song, lyrics; sing, chant; praise";w_hsk1_316;0;0
317;床;chuáng;"bed, couch; framework, chassis";w_hsk1_317;0;0
318;玩;wán;play with, joke, enjoy;w_hsk1_318;0;0
319;妻;qī;wife;w_hsk1_319;0;0
320;休;xiū;"rest, stop; retire; do not!";w_hsk1_320;0;0
321;舞;wǔ;"dance, posture, prance; brandish";w_hsk1_321;0;0
322;姓;xìng;"one's family name; clan, people";w_hsk1_322;0;0
323;妹;mèi;younger sister;w_hsk1_323;0;0
324;汽;qì;steam, vapor, gas;w_hsk1_324;0;0
325;课;kè;"lesson; course; classwork";w_hsk1_325;0;0
326;懂;dǒng;understand, comprehend;w_hsk1_326;0;0
327;绍;shào;"continue, carry on; join";w_hsk1_327;0;0
328;丈;zhàng;"unit of length equal 3.3 meters; gentleman, man, husband";w_hsk1_328;0;0
329;洗;xǐ;"wash, rinse; clean, purify";w_hsk1_329;0;0
330;唱;chàng;"sing, chant, call; ditty, song";w_hsk1_330;0;0
331;奶;nǎi;"milk; woman's breasts; nurse";w_hsk1_331;0;0
332;宜;yí;suitable, right, fitting, proper;w_hsk1_332;0;0
333;累;lèi;"tired; implicate, involve; bother";w_hsk1_333;0;0
334;羊;yáng;"sheep, goat; KangXi radical 123";w_hsk1_334;0;0
335;零;líng;"zero; fragment, fraction";w_hsk1_335;0;0
336;蛋;dàn;"eggs; term of abuse";w_hsk1_336;0;0
337;鸡;jī;chicken;w_hsk1_337;0;0
338;宾;bīn;"guest, visitor; surname; submit";w_hsk1_338;0;0
339;颜;yán;face, facial appearance;w_hsk1_339;0;0
340;瓜;guā;"melon, gourd, cucumber; rad. 97";w_hsk1_340;0;0
341;晴;qíng;clear weather, fine weather;w_hsk1_341;0;0
342;啡;fēi;"morphine; coffee";w_hsk1_342;0;0
343;篮;lán;basket;w_hsk1_343;0;0
344;咖;kā;"coffee; a phonetic";w_hsk1_344;0;0
345;踢;tī;kick;w_hsk1_345;0;0
346;泳;yǒng;"dive; swim";w_hsk1_346;0;0
347;铅;qiān;lead;w_hsk1_347;0;0
348;地;de;"earth; soil, ground; region";w_hsk1_348;0;0
349;而;ér;"and; and then; and yet; but";w_hsk1_349;0;0
350;于;yú;"in, on, at; go to; surname";w_hsk1_350;0;0
351;自;zì;"self, private, personal; from";w_hsk1_351;0;0
352;发;fā;"issue, dispatch, send out; hair";w_hsk1_352;0;0
353;用;yòng;"use, employ, apply, operate; use";w_hsk1_353;0;0
354;行;xíng;"go; walk; move, travel; circulate";w_hsk1_354;0;0
355;种;zhǒng;"seed; race, breed; to plant";w_hsk1_355;0;0
356;成;chéng;completed, finished, fixed;w_hsk1_356;0;0
357;方;fāng;"a square, rectangle; a region; local";w_hsk1_357;0;0
358;法;fǎ;"law, rule, regulation, statute; France, French";w_hsk1_358;0;0
359;如;rú;"if, supposing; as if; like, as";w_hsk1_359;0;0
360;当;dāng;"bear, accept, undertake; just";w_hsk1_360;0;0
361;定;dìng;decide, settle, fix;w_hsk1_361;0;0
362;其;qí;"his, her, its, their; that";w_hsk1_362;0;0
363;主;zhǔ;"master, chief owner; host; lord";w_hsk1_363;0;0
364;理;lǐ;"reason, logic; manage";w_hsk1_364;0;0
365;心;xīn;"heart; mind, intelligence; soul";w_hsk1_365;0;0
366;只;zhǐ;only, just, simply;w_hsk1_366;0;0
367;实;shí;"real, true; honest, sincere";w_hsk1_367;0;0
368;者;zhě;"that which; he who; those who";w_hsk1_368;0;0
369;力;lì;power, capability, influence;w_hsk1_369;0;0
370;把;bǎ;"hold, take; guard; regard as";w_hsk1_370;0;0
371;又;yòu;and, also, again, in addition;w_hsk1_371;0;0
372;业;yè;"profession, business; GB radical 111";w_hsk1_372;0;0
373;重;zhòng;"heavy, weighty; double";w_hsk1_373;0;0
374;物;wù;thing, substance, creature;w_hsk1_374;0;0
375;应;yīng;should, ought to, must;w_hsk1_375;0;0
376;向;xiàng;toward, direction, trend;w_hsk1_376;0;0
377;头;tóu;"head; top; chief, first; boss";w_hsk1_377;0;0
378;文;wén;literature, culture, writing;w_hsk1_378;0;0
379;相;xiāng;mutual, reciprocal, each other;w_hsk1_379;0;0
380;被;bèi;"passive indicator 'by'; bedding";w_hsk1_380;0;0
381;或;huò;"or, either, else; perhaps, maybe";w_hsk1_381;0;0
382;己;jǐ;"self, oneself; personal, private; 6th heavenly stem";w_hsk1_382;0;0
383;加;jiā;add to, increase, augment;w_hsk1_383;0;0
384;特;tè;special, unique, distinguished;w_hsk1_384;0;0
385;信;xìn;"trust, believe; letter";w_hsk1_385;0;0
386;化;huà;"change, convert, reform; -ize";w_hsk1_386;0;0
387;世;shì;"generation; world; era";w_hsk1_387;0;0
388;位;wèi;"throne; position, post; rank, status; seat";w_hsk1_388;0;0
389;声;shēng;"sound, voice, noise; tone; music";w_hsk1_389;0;0
390;提;tí;"hold in hand; lift in hand";w_hsk1_390;0;0
391;解;jiě;"loosen, unfasten, untie; explain";w_hsk1_391;0;0
392;口;kǒu;"mouth; open end; entrance, gate";w_hsk1_392;0;0
393;平;píng;"flat, level, even; peaceful";w_hsk1_393;0;0
394;更;gèng;more, still further, much more;w_hsk1_394;0;0
395;变;biàn;"change, transform, alter; rebel";w_hsk1_395;0;0
396;总;zǒng;"collect; overall, altogether";w_hsk1_396;0;0
397;数;shù;"number; several, count; fate";w_hsk1_397;0;0
398;安;ān;peaceful, tranquil, quiet;w_hsk1_398;0;0
399;才;cái;"talent, ability; just, only";w_hsk1_399;0;0
400;结;jié;"knot, tie; join, connect";w_hsk1_400;0;0
401;目;mù;"eye; look, see; division, topic";w_hsk1_401;0;0
402;感;gǎn;feel, perceive, emotion;w_hsk1_402;0;0
403;接;jiē;"receive; continue; catch; connect";w_hsk1_403;0;0
404;必;bì;"surely, most certainly; must";w_hsk1_404;0;0
405;市;shì;"market, fair; city, town; trade";w_hsk1_405;0;0
406;直;zhí;straight, erect, vertical;w_hsk1_406;0;0
407;山;shān;mountain, hill, peak;w_hsk1_407;0;0
408;空;kōng;empty, hollow, bare, deserted;w_hsk1_408;0;0
409;决;jué;decide, determine, judge;w_hsk1_409;0;0
410;马;mǎ;"horse; surname; KangXi radical 187";w_hsk1_410;0;0
411;界;jiè;"boundary, limit; domain; society; the world";w_hsk1_411;0;0
412;放;fàng;put, release, free, liberate;w_hsk1_412;0;0
413;像;xiàng;"a picture, image, figure; to resemble";w_hsk1_413;0;0
414;且;qiě;"moreover, also (post-subject); about to, will soon (pre-verb)";w_hsk1_414;0;0
415;难;nán;"difficult, arduous, hard; unable";w_hsk1_415;0;0
416;记;jì;"record; keep in mind, remember";w_hsk1_416;0;0
417;南;nán;"south; southern part; southward";w_hsk1_417;0;0
418;求;qiú;"seek; demand, request; beseech";w_hsk1_418;0;0
419;据;jù;"to occupy, take possession of; a base, position";w_hsk1_419;0;0
420;张;zhāng;"stretch, extend, expand; sheet";w_hsk1_420;0;0
421;该;gāi;should, ought to, need to;w_hsk1_421;0;0
422;万;wàn;"ten thousand; innumerable";w_hsk1_422;0;0
423;清;qīng;"clear, pure, clean; peaceful";w_hsk1_423;0;0
